0,10,14,9,18,19,2,10,11,19,12,8,8,8,17,2,17,19,3,9,3,1,13,18,6,5,9,15,14,5,1,16,6,9,11
10,0,19,6,7,1,5,6,4,7,6,14,13,11,4,13,1,4,16,6,8,5,10,19,18,19,12,2,15,14,8,12,9,7,12
4,7,0,4,7,7,12,16,6,3,2,10,10,6,17,3,19,18,13,15,12,5,2,16,18,18,16,14,14,18,4,19,17,12,5
17,10,13,0,3,8,5,17,7,14,13,17,5,2,12,17,12,12,4,12,17,5,5,4,1,15,1,17,18,18,2,14,16,11,16
6,3,17,12,0,1,7,15,15,9,10,17,18,10,4,11,15,15,12,16,16,9,18,19,8,5,12,9,11,1,3,5,9,11,17
11,13,3,2,2,0,13,1,11,7,13,18,2,9,13,5,3,2,15,8,17,10,17,11,18,8,1,2,12,11,8,16,13,12,11
11,18,15,2,4,8,0,15,14,19,19,5,10,2,16,19,6,9,11,17,19,8,6,13,12,7,19,10,11,17,13,7,4,17,8
11,2,9,10,11,16,17,0,19,18,1,13,17,8,6,12,2,14,18,15,2,4,10,3,13,9,1,11,2,7,16,12,13,11,8
10,3,9,12,8,9,2,2,0,15,10,11,6,18,10,4,8,4,15,10,2,12,2,6,18,3,15,14,16,7,16,12,19,2,5
1,16,13,19,13,13,17,15,14,0,4,4,12,11,8,3,1,7,11,18,16,6,8,17,10,1,19,3,15,14,12,8,1,5,2
2,7,12,18,15,9,13,11,8,15,0,11,1,6,12,2,3,8,7,5,19,4,3,13,16,12,16,17,1,17,10,10,3,1,11
2,9,11,1,1,2,3,4,6,3,11,0,11,18,7,10,12,9,8,1,13,14,8,3,2,10,15,17,3,19,13,5,6,17,8
10,1,16,11,3,11,18,12,7,5,1,18,0,11,12,1,14,16,1,16,15,2,18,19,16,16,3,12,4,1,11,19,15,6,6
2,9,18,11,14,18,18,2,19,14,16,13,6,0,19,19,18,4,3,10,12,15,19,2,1,18,13,2,3,9,13,8,8,3,10
18,7,6,13,13,10,12,9,10,17,6,15,14,14,0,4,3,11,1,3,1,5,6,19,7,14,3,12,8,9,3,15,2,4,18
12,19,1,10,6,17,2,18,12,18,18,8,4,9,9,0,11,13,10,18,16,8,18,15,17,9,13,2,15,11,19,13,3,16,7
1,11,11,2,6,1,2,7,8,2,7,19,16,14,13,15,0,13,18,8,1,17,18,13,15,1,6,12,11,8,5,3,5,11,15
14,13,13,5,16,3,11,10,8,12,10,11,9,13,5,10,5,0,1,1,16,8,11,12,14,12,14,19,8,1,17,8,16,6,15
19,1,5,8,1,17,8,5,15,1,4,14,15,14,19,12,10,1,0,15,16,7,13,12,9,7,15,19,12,1,14,16,8,18,12
18,16,6,6,9,16,17,9,9,16,2,13,8,4,9,2,17,10,17,0,6,11,11,12,7,17,10,16,6,2,1,8,1,6,19
19,15,3,8,13,9,2,10,14,19,19,19,17,1,5,7,9,1,9,7,0,11,3,4,10,4,13,19,17,17,5,13,13,9,16
18,16,13,17,15,8,19,1,9,16,17,9,17,18,12,4,12,15,11,13,1,0,11,19,15,19,14,8,14,6,12,13,16,18,17
4,11,1,13,5,4,19,17,9,7,13,4,14,3,1,11,1,4,3,5,17,14,0,4,12,17,10,2,4,10,3,4,7,14,15
1,14,12,4,15,10,12,18,15,11,8,8,2,1,17,8,9,12,16,12,16,7,7,0,9,15,1,19,15,18,11,10,4,9,14
2,5,10,1,3,12,12,1,1,5,12,19,1,5,19,1,8,16,19,10,18,13,16,16,0,16,14,11,12,10,12,17,4,17,2
8,9,18,10,2,17,19,2,14,13,16,9,5,10,1,15,18,10,9,6,16,8,4,11,16,0,14,2,5,11,1,14,15,12,15
4,12,7,13,9,6,2,18,13,11,13,11,15,8,15,18,13,13,15,6,15,19,3,10,9,1,0,2,3,15,19,7,11,18,11
15,10,15,15,5,2,16,5,10,5,3,3,5,3,17,19,15,12,4,11,5,12,4,7,2,2,11,0,19,10,7,9,19,19,7
17,15,17,11,12,5,2,15,15,13,15,10,11,5,15,18,3,3,19,5,17,7,13,1,1,17,12,4,0,7,14,8,6,18,15
15,16,4,1,3,14,13,13,11,16,13,12,2,15,11,17,4,12,15,17,11,6,11,7,19,14,8,2,19,0,5,8,11,13,9
12,9,9,5,16,9,7,16,13,15,15,18,6,12,3,4,12,19,7,7,6,12,7,1,7,15,7,10,8,2,0,3,11,5,18
12,19,13,2,2,6,14,12,11,9,8,14,18,11,9,9,11,8,13,6,13,9,16,18,2,3,6,8,7,12,11,0,4,14,3
14,6,19,8,11,2,19,15,19,15,6,5,13,17,17,9,9,6,13,15,16,14,19,8,14,3,17,14,19,13,5,8,0,2,6
10,13,12,18,3,3,12,6,15,2,4,17,15,12,10,12,3,9,15,10,12,4,18,11,17,16,13,7,15,18,14,4,13,0,5
15,8,4,11,18,10,8,2,9,11,2,17,1,10,5,13,14,13,5,1,7,1,12,7,15,19,1,3,9,17,19,13,4,14,0
