0,6,2,4,15,13,17,7,13,15,15,2,11,8,18,8,5,10,19,16,16,13,6,19,2,11,16,11,5,18,16,19,2,14,3,16,3,16,8,19,3,6,1,15,8,11,7,11,5,9
14,0,16,4,16,16,18,13,3,17,7,3,5,14,15,19,13,3,7,4,18,17,5,6,5,13,13,7,14,15,13,15,7,15,11,18,4,10,18,7,18,15,11,7,9,15,2,10,14,13
12,7,0,14,2,2,19,10,11,17,7,16,1,2,1,7,4,1,9,9,10,13,1,13,14,13,19,5,14,10,5,12,15,7,9,18,9,18,18,15,1,9,9,7,13,18,14,10,14,1
7,11,8,0,15,13,13,13,13,19,13,13,8,5,19,4,17,5,14,5,18,17,19,11,11,17,10,16,19,18,15,14,3,12,10,9,15,11,8,13,1,14,11,11,7,19,7,12,12,17
2,15,16,18,0,9,13,5,2,13,5,18,14,16,5,1,14,3,3,1,12,3,18,8,18,8,7,13,17,1,15,8,15,11,13,10,13,1,12,15,14,17,11,7,13,5,15,11,4,16
10,1,7,3,16,0,11,15,8,3,17,15,4,14,9,19,4,10,8,15,5,11,1,1,7,5,16,9,12,11,14,12,7,4,17,15,5,18,5,17,7,10,7,15,17,6,4,12,15,18
3,17,18,13,1,2,0,10,19,12,10,8,16,8,3,3,2,13,7,12,9,18,9,9,7,11,8,18,11,14,16,15,1,19,7,2,16,12,3,8,3,10,5,8,15,5,9,5,7,8
5,1,16,18,10,8,15,0,8,17,5,2,7,6,18,1,9,8,13,14,11,11,3,13,11,6,9,9,2,7,5,7,7,1,2,2,5,3,19,2,3,8,10,2,19,19,7,5,14,15
12,7,3,7,10,17,4,8,0,9,13,18,17,15,7,9,7,5,19,19,8,3,18,17,2,16,11,16,11,6,9,2,13,4,9,18,17,3,4,10,1,18,5,9,16,4,10,19,17,12
15,8,5,19,15,13,11,14,15,0,19,11,13,11,9,17,5,18,16,1,11,19,15,2,3,1,12,12,10,14,7,19,1,17,10,7,10,16,5,10,12,8,1,10,14,9,5,6,17,2
4,1,11,7,2,13,13,7,19,2,0,19,12,13,19,3,2,2,14,6,17,15,3,18,5,4,12,2,4,17,19,16,8,12,11,9,14,3,5,1,17,11,7,5,9,17,9,8,3,6
12,9,4,18,2,4,10,11,15,11,14,0,13,6,11,14,8,5,8,2,4,3,11,15,15,2,11,11,13,9,18,6,8,18,11,1,5,1,17,6,15,3,8,6,6,14,8,4,9,19
17,11,12,11,17,1,14,1,5,8,2,8,0,10,1,12,8,15,14,19,11,18,3,4,16,11,19,10,13,10,4,15,19,4,4,16,15,9,5,13,7,10,19,11,16,17,10,13,7,7
17,4,7,5,6,8,3,5,12,10,2,17,12,0,9,15,13,14,14,17,11,10,1,19,5,10,4,7,3,19,3,1,11,3,18,3,10,16,5,15,2,18,16,3,17,14,17,19,9,17
