0,7,2,6,13,13,4,6,3,12,5,8,8,18,9
1,0,10,10,19,1,13,3,4,1,8,2,16,13,18
18,16,0,4,14,11,10,10,19,12,13,17,11,19,5
5,1,4,0,14,9,18,17,11,4,11,10,1,3,6
18,10,2,19,0,2,12,2,17,17,8,19,3,5,9
12,11,11,16,2,0,1,14,14,14,7,9,11,8,19
8,3,19,1,1,5,0,16,15,12,11,4,15,3,1
16,5,5,14,5,11,7,0,16,13,5,19,8,5,8
5,10,10,14,5,14,5,7,0,5,19,10,1,7,4
1,10,19,7,10,14,17,8,2,0,2,3,12,1,2
16,11,15,2,10,10,7,9,3,5,0,17,1,5,4
19,4,2,14,18,5,18,11,12,3,8,0,18,18,14
15,18,7,6,1,7,6,2,2,12,4,11,0,8,14
18,13,18,18,2,16,8,9,12,13,19,8,14,0,17
9,1,14,14,13,2,17,11,15,5,16,4,12,5,0
