0,3,8,10,16,13,1,14,9,8,5,15,7,19,5,7,6,6,13,12
10,0,14,1,5,13,17,10,5,19,18,12,2,15,7,17,13,19,6,5
4,2,0,13,18,13,3,10,11,4,7,17,4,16,19,13,14,2,10,18
16,3,19,0,16,13,9,8,14,12,2,7,8,9,7,17,15,19,11,11
10,15,16,12,0,17,4,2,6,5,13,11,1,3,18,17,18,3,18,11
16,2,17,13,18,0,11,16,12,2,12,1,14,3,7,12,10,14,4,7
5,10,9,5,13,5,0,6,18,16,2,1,11,15,13,12,7,8,3,4
2,3,10,2,16,1,12,0,16,11,2,1,18,11,17,6,8,17,7,15
7,14,14,14,14,8,11,12,0,17,3,12,18,18,9,16,13,10,8,10
18,9,5,13,9,15,18,12,5,0,1,17,15,14,6,5,8,4,9,17
11,5,11,14,19,19,9,10,17,13,0,16,14,15,18,13,16,18,8,9
5,18,4,19,5,2,13,16,13,6,17,0,14,7,18,15,18,10,18,15
3,7,2,10,2,16,19,3,17,19,19,6,0,1,14,10,8,16,9,6
3,19,15,5,13,12,17,9,2,4,9,4,7,0,4,4,5,7,8,13
7,3,5,10,7,12,7,11,5,2,14,16,19,7,0,4,4,4,14,1
9,12,3,15,13,14,17,10,15,6,14,4,14,8,18,0,8,18,7,4
14,17,1,5,9,15,17,8,4,12,4,13,15,16,10,13,0,13,6,12
5,18,5,8,6,13,5,7,15,4,8,5,6,2,4,1,1,0,18,10
3,3,4,2,11,1,12,6,3,5,18,16,2,10,8,10,16,10,0,9
5,8,10,17,15,3,5,14,1,15,16,17,17,1,8,10,10,13,1,0
